TimeStamp,tradeDate,settlementDate,TraderID,TradeID,Action,Product,NotionalAmount,Counterparty,PriceOrRate,Status,Latency(ms),is_anomaly
2024-10-20 03:00:00,2024-10-20 20:00:00,2024-10-21 20:00:00,TRADER_39,T_1,BUY,Options,999797.9294432522,Bank A,1.2555533272421426,Pending,98.15553785057384,0
2023-02-05 20:00:00,2023-02-06 03:00:00,2023-03-03 03:00:00,TRADER_114,T_2,SELL,Futures,888341.3742066955,Bank C,1.521152341972988,Pending,97.13595729832878,0
2023-08-13 14:00:00,2023-08-13 23:00:00,2023-08-20 23:00:00,TRADER_49,T_3,BUY,Bond,1160786.5317845922,Bank E,1.6268989793980762,Pending,82.07618715027019,0
2024-05-13 12:00:00,2024-05-14 08:00:00,2024-05-21 08:00:00,TRADER_28,T_4,BUY,Bond,1040320.1768945492,Bank C,0.9316520466004332,Cancelled,71.43312597851349,0
2024-04-15 04:00:00,2024-04-15 08:00:00,2024-04-29 08:00:00,TRADER_200,T_5,SELL,Options,796520.9781902037,Bank D,0.6726268943402548,Cancelled,104.33995417792532,0
2023-09-19 01:00:00,2023-09-19 22:00:00,2023-10-18 22:00:00,TRADER_82,T_6,BUY,Swap,1439866.7821291536,Bank B,0.9436842908855808,Cancelled,87.25262831259596,0
2024-12-03 02:00:00,2024-12-04 01:00:00,2024-12-15 01:00:00,TRADER_173,T_7,SELL,Futures,1007137.763768958,Bank B,1.0624343478348552,Cancelled,135.78706541407138,0
2023-07-04 10:00:00,2023-07-05 09:00:00,2023-07-21 09:00:00,TRADER_97,T_8,BUY,Bond,1254675.00339634,Bank A,1.3621153465539673,Confirmed,102.39956977912422,0
2024-08-23 23:00:00,2024-08-24 12:00:00,2024-09-17 12:00:00,TRADER_12,T_9,BUY,Futures,707533.7478896824,Bank A,0.9063606865709508,Cancelled,71.25244319498573,0
2024-04-18 11:00:00,2024-04-18 18:00:00,2024-05-15 18:00:00,TRADER_21,T_10,BUY,Options,855027.5429028475,Bank C,1.0208544530953347,Pending,54.636858292680174,0
2024-10-29 15:00:00,2024-10-29 15:00:00,2024-10-30 15:00:00,TRADER_131,T_11,SELL,Swap,1070502.9469802016,Bank A,1.441553789509346,Pending,77.90412032127175,0
2023-12-13 18:00:00,2023-12-14 06:00:00,2024-01-12 06:00:00,TRADER_84,T_12,SELL,Bond,767698.5934828196,Bank E,0.8703921910781995,Pending,126.866002257285,0
2023-03-12 05:00:00,2023-03-12 21:00:00,2023-04-08 21:00:00,TRADER_194,T_13,BUY,Futures,961392.4069344014,Bank A,0.768251828552496,Confirmed,64.03074104646183,0
2023-02-02 01:00:00,2023-02-02 16:00:00,2023-02-04 16:00:00,TRADER_108,T_14,BUY,Options,771761.7912025739,Bank A,1.295282172919147,Confirmed,54.415186648925165,0
2023-04-12 09:00:00,2023-04-13 01:00:00,2023-04-14 01:00:00,TRADER_152,T_15,BUY,FXSpot,667573.5246993804,Bank D,1.2360143150831586,Pending,127.33799509631856,0
2023-08-10 07:00:00,2023-08-10 14:00:00,2023-08-29 14:00:00,TRADER_60,T_16,BUY,FXSpot,1500630.8380392557,Bank B,0.8862737897245363,Pending,66.88680421165117,0
2023-07-30 11:00:00,2023-07-31 06:00:00,2023-08-22 06:00:00,TRADER_105,T_17,SELL,Swap,1095606.2159923902,Bank A,1.3466717305330482,Cancelled,65.08173655300817,0
2023-09-25 12:00:00,2023-09-26 06:00:00,2023-10-20 06:00:00,TRADER_54,T_18,SELL,Swap,1140258.1712863722,Bank B,0.8306061955807598,Confirmed,53.513222074076765,0
2023-09-24 12:00:00,2023-09-25 01:00:00,2023-10-06 01:00:00,TRADER_109,T_19,SELL,Futures,795258.7911599865,Bank A,1.5496715479994791,Pending,137.17914520534003,0
2023-12-28 02:00:00,2023-12-28 19:00:00,2024-01-06 19:00:00,TRADER_98,T_20,BUY,FXSpot,1128095.944080772,Bank B,1.2134551913117575,Cancelled,22.53757371439947,0
2023-04-25 11:00:00,2023-04-25 14:00:00,2023-05-08 14:00:00,TRADER_115,T_21,SELL,Bond,489959.30872297904,Bank A,1.2683079294676898,Cancelled,64.49058208420449,0
2023-01-08 21:00:00,2023-01-09 04:00:00,2023-02-02 04:00:00,TRADER_130,T_22,SELL,Options,1019528.8856894335,Bank D,1.409260967894755,Cancelled,18.113444716565752,0
2023-05-06 05:00:00,2023-05-06 21:00:00,2023-06-03 21:00:00,TRADER_155,T_23,BUY,Swap,677820.0555438055,Bank D,0.6994673225585764,Cancelled,82.71426329291674,0
2023-03-21 03:00:00,2023-03-21 03:00:00,2023-04-09 03:00:00,TRADER_135,T_24,BUY,Options,1049407.5325925453,Bank E,1.0829616309214645,Confirmed,104.4175521615383,0
2023-02-22 19:00:00,2023-02-23 00:00:00,2023-03-10 00:00:00,TRADER_37,T_25,BUY,Bond,1212823.5519105436,Bank C,1.134472044568228,Pending,47.748922316274985,0
2024-04-19 18:00:00,2024-04-19 18:00:00,2024-04-20 18:00:00,TRADER_157,T_26,BUY,FXSpot,1226084.91840603,Bank E,1.136227053578571,Pending,122.58226888769768,0
2023-05-29 04:00:00,2023-05-29 08:00:00,2023-06-05 08:00:00,TRADER_182,T_27,BUY,Swap,1013955.2780534256,Bank C,1.1515458121647004,Pending,77.64465980566435,0
2023-06-12 02:00:00,2023-06-12 10:00:00,2023-06-26 10:00:00,TRADER_161,T_28,SELL,Swap,581202.3927990401,Bank C,1.1626401605400138,Cancelled,96.2319466752972,0
2024-01-04 06:00:00,2024-01-04 13:00:00,2024-01-22 13:00:00,TRADER_18,T_29,BUY,Options,597803.3079771621,Bank B,1.0809008626342471,Pending,131.37244338347767,0
2024-08-27 06:00:00,2024-08-28 05:00:00,2024-09-24 05:00:00,TRADER_51,T_30,SELL,FXSpot,947869.0745386364,Bank C,1.540100751599231,Cancelled,60.96122468814707,0
2024-03-18 19:00:00,2024-03-19 17:00:00,2024-04-11 17:00:00,TRADER_31,T_31,SELL,Options,1136327.450444938,Bank B,1.1240095813965263,Confirmed,85.1458927370486,0
2024-01-02 08:00:00,2024-01-02 16:00:00,2024-01-07 16:00:00,TRADER_50,T_32,SELL,Options,1146042.5553320576,Bank D,1.224345553311087,Confirmed,92.0785122688014,0
2024-03-15 19:00:00,2024-03-16 02:00:00,2024-04-03 02:00:00,TRADER_15,T_33,BUY,Futures,947829.732881558,Bank A,1.196993617905479,Cancelled,104.96894545916366,0
