TimeStamp;tradeDate;settlementDate;TraderID;TradeID;Action;Product;NotionalAmount;Counterparty;PriceOrRate;Status;Latency(ms);is_anomaly
20/10/2024 03:00;20/10/2024 20:00;21/10/2024 20:00;TRADER_39;T_1;BUY;Options;999797.9294;Bank A;1.255553327;Pending;98.15553785;0
05/02/2023 20:00;06/02/2023 03:00;03/03/2023 03:00;TRADER_114;T_2;SELL;Futures;888341.3742;Bank C;1.521152342;Pending;97.1359573;0
13/08/2023 14:00;13/08/2023 23:00;20/08/2023 23:00;TRADER_49;T_3;BUY;Bond;1160786.532;Bank E;1.626898979;Pending;82.07618715;0
13/05/2024 12:00;14/05/2024 08:00;21/05/2024 08:00;TRADER_28;T_4;BUY;Bond;1040320.177;Bank C;0.931652047;Cancelled;71.43312598;0
15/04/2024 04:00;15/04/2024 08:00;29/04/2024 08:00;TRADER_200;T_5;SELL;Options;796520.9782;Bank D;0.672626894;Cancelled;104.3399542;0
19/09/2023 01:00;19/09/2023 22:00;18/10/2023 22:00;TRADER_82;T_6;BUY;Swap;1439866.782;Bank B;0.943684291;Cancelled;87.25262831;0
03/12/2024 02:00;04/12/2024 01:00;15/12/2024 01:00;TRADER_173;T_7;SELL;Futures;1007137.764;Bank B;1.062434348;Cancelled;135.7870654;0
04/07/2023 10:00;05/07/2023 09:00;21/07/2023 09:00;TRADER_97;T_8;BUY;Bond;1254675.003;Bank A;1.362115347;Confirmed;102.3995698;0
23/08/2024 23:00;24/08/2024 12:00;17/09/2024 12:00;TRADER_12;T_9;BUY;Futures;707533.7479;Bank A;0.906360687;Cancelled;71.25244319;0
18/04/2024 11:00;18/04/2024 18:00;15/05/2024 18:00;TRADER_21;T_10;BUY;Options;855027.5429;Bank C;1.020854453;Pending;54.63685829;0
29/10/2024 15:00;29/10/2024 15:00;30/10/2024 15:00;TRADER_131;T_11;SELL;Swap;1070502.947;Bank A;1.44155379;Pending;77.90412032;0
13/12/2023 18:00;14/12/2023 06:00;12/01/2024 06:00;TRADER_84;T_12;SELL;Bond;767698.5935;Bank E;0.870392191;Pending;126.8660023;0
12/03/2023 05:00;12/03/2023 21:00;08/04/2023 21:00;TRADER_194;T_13;BUY;Futures;961392.4069;Bank A;0.768251829;Confirmed;64.03074105;0
02/02/2023 01:00;02/02/2023 16:00;04/02/2023 16:00;TRADER_108;T_14;BUY;Options;771761.7912;Bank A;1.295282173;Confirmed;54.41518665;0
12/04/2023 09:00;13/04/2023 01:00;14/04/2023 01:00;TRADER_152;T_15;BUY;FXSpot;667573.5247;Bank D;1.236014315;Pending;127.3379951;0
10/08/2023 07:00;10/08/2023 14:00;29/08/2023 14:00;TRADER_60;T_16;BUY;FXSpot;1500630.838;Bank B;0.88627379;Pending;66.88680421;0
30/07/2023 11:00;31/07/2023 06:00;22/08/2023 06:00;TRADER_105;T_17;SELL;Swap;1095606.216;Bank A;1.346671731;Cancelled;65.08173655;0
25/09/2023 12:00;26/09/2023 06:00;20/10/2023 06:00;TRADER_54;T_18;SELL;Swap;1140258.171;Bank B;0.830606196;Confirmed;53.51322207;0
24/09/2023 12:00;25/09/2023 01:00;06/10/2023 01:00;TRADER_109;T_19;SELL;Futures;795258.7912;Bank A;1.549671548;Pending;137.1791452;0
28/12/2023 02:00;28/12/2023 19:00;06/01/2024 19:00;TRADER_98;T_20;BUY;FXSpot;1128095.944;Bank B;1.213455191;Cancelled;22.53757371;0
25/04/2023 11:00;25/04/2023 14:00;08/05/2023 14:00;TRADER_115;T_21;SELL;Bond;489959.3087;Bank A;1.268307929;Cancelled;64.49058208;0
08/01/2023 21:00;09/01/2023 04:00;02/02/2023 04:00;TRADER_130;T_22;SELL;Options;1019528.886;Bank D;1.409260968;Cancelled;18.11344472;0
06/05/2023 05:00;06/05/2023 21:00;03/06/2023 21:00;TRADER_155;T_23;BUY;Swap;677820.0555;Bank D;0.699467323;Cancelled;82.71426329;0
21/03/2023 03:00;21/03/2023 03:00;09/04/2023 03:00;TRADER_135;T_24;BUY;Options;1049407.533;Bank E;1.082961631;Confirmed;104.4175522;0
22/02/2023 19:00;23/02/2023 00:00;10/03/2023 00:00;TRADER_37;T_25;BUY;Bond;1212823.552;Bank C;1.134472045;Pending;47.74892232;0
19/04/2024 18:00;19/04/2024 18:00;20/04/2024 18:00;TRADER_157;T_26;BUY;FXSpot;1226084.918;Bank E;1.136227054;Pending;122.5822689;0
29/05/2023 04:00;29/05/2023 08:00;05/06/2023 08:00;TRADER_182;T_27;BUY;Swap;1013955.278;Bank C;1.151545812;Pending;77.64465981;0
12/06/2023 02:00;12/06/2023 10:00;26/06/2023 10:00;TRADER_161;T_28;SELL;Swap;581202.3928;Bank C;1.162640161;Cancelled;96.23194668;0
04/01/2024 06:00;04/01/2024 13:00;22/01/2024 13:00;TRADER_18;T_29;BUY;Options;597803.308;Bank B;1.080900863;Pending;131.3724434;0
27/08/2024 06:00;28/08/2024 05:00;24/09/2024 05:00;TRADER_51;T_30;SELL;FXSpot;947869.0745;Bank C;1.540100752;Cancelled;60.96122469;0
18/03/2024 19:00;19/03/2024 17:00;11/04/2024 17:00;TRADER_31;T_31;SELL;Options;1136327.45;Bank B;1.124009581;Confirmed;85.14589274;0
02/01/2024 08:00;02/01/2024 16:00;07/01/2024 16:00;TRADER_50;T_32;SELL;Options;1146042.555;Bank D;1.224345553;Confirmed;92.07851227;0
15/03/2024 19:00;16/03/2024 02:00;03/04/2024 02:00;TRADER_15;T_33;BUY;Futures;947829.7329;Bank A;1.196993618;Cancelled;104.9689455;0
03/03/2024 05:00;03/03/2024 10:00;30/03/2024 10:00;TRADER_118;T_34;SELL;Options;631229.5943;Bank C;1.308860203;Cancelled;88.30227286;0
18/12/2023 09:00;19/12/2023 05:00;24/12/2023 05:00;TRADER_85;T_35;BUY;Options;453151.6131;Bank E;0.924704595;Confirmed;119.1093977;0
02/03/2024 09:00;03/03/2024 03:00;16/03/2024 03:00;TRADER_34;T_36;SELL;Swap;65436.99863;Bank C;0.701590815;Cancelled;76.40143353;0
04/04/2024 00:00;04/04/2024 02:00;22/04/2024 02:00;TRADER_114;T_37;SELL;Options;1140434.725;Bank C;1.441295812;Cancelled;133.964741;0
19/04/2023 20:00;20/04/2023 02:00;03/05/2023 02:00;TRADER_176;T_38;SELL;FXSpot;752203.2223;Bank D;1.072246892;Confirmed;73.47983734;0
19/10/2024 19:00;20/10/2024 10:00;09/11/2024 10:00;TRADER_188;T_39;BUY;Options;966275.7072;Bank E;0.817496097;Cancelled;156.1019142;0
15/12/2024 23:00;15/12/2024 23:00;13/01/2025 23:00;TRADER_183;T_40;BUY;Futures;1019686.636;Bank E;0.79483521;Cancelled;124.3392684;0
